x,y,RSSI A,RSSI B,RSSI C
0.5,0.5,75,93,87
0.5,1,70,88,85
0.5,1.5,83,81,85
0.5,2,86,84,87
0.5,2.5,79,81,82
0.5,3,80,76,93
0.5,3.5,83,68,93
1,0.5,83,84,83
1,1,76,87,85
1,1.5,80,88,76
1,2,82,77,80
1,2.5,86,79,85
1,3,82,85,86
1,3.5,72,82,93
1.5,0.5,81,83,81
1.5,1,82,84,84
1.5,1.5,83,88,88
1.5,2,87,78,86
1.5,2.5,89,82,82
1.5,3,91,81,86
1.5,3.5,91,76,84
2,0.5,78,86,81
2,1,91,85,80
2,1.5,80,75,80
2,2,84,85,84
2,2.5,81,82,84
2,3,79,83,87
2,3.5,84,75,93
2.5,0.5,87,84,77
2.5,1,84,88,85
2.5,1.5,85,83,83
2.5,2,82,82,85
2.5,2.5,86,77,83
2.5,3,87,84,86
2.5,3.5,95,77,94
3,0.5,82,83,74
3,1,94,84,76
3,1.5,91,92,84
3,2,83,84,80
3,2.5,90,78,79
3,3,95,88,87
3,3.5,90,74,82
3.5,0.5,89,85,75
3.5,1,83,95,77
3.5,1.5,85,82,81
3.5,2,83,78,82
3.5,2.5,83,83,81
3.5,3,87,87,88
3.5,3.5,84,82,80
