x,y,RSSI A,RSSI B,RSSI C
0.5,0.5,44,56,44
0.5,1,43,52,56
0.5,1.5,51,51,55
0.5,2,48,51,59
0.5,2.5,55,59,60
0.5,3,49,40,58
0.5,3.5,57,50,64
1,0.5,43,49,51
1,1,48,56,51
1,1.5,52,48,61
1,2,50,54,57
1,2.5,48,51,49
1,3,46,49,56
1,3.5,53,43,54
1.5,0.5,44,56,48
1.5,1,58,44,45
1.5,1.5,54,51,50
1.5,2,54,46,54
1.5,2.5,53,53,49
1.5,3,56,42,47
1.5,3.5,60,42,47
2,0.5,53,47,56
2,1,55,49,59
2,1.5,49,43,57
2,2,48,58,53
2,2.5,52,59,61
2,3,54,56,56
2,3.5,53,47,53
2.5,0.5,48,56,47
2.5,1,57,50,46
2.5,1.5,58,45,43
2.5,2,57,53,47
2.5,2.5,50,48,52
2.5,3,58,49,50
2.5,3.5,50,50,57
3,0.5,54,50,49
3,1,58,52,43
3,1.5,54,51,39
3,2,49,44,60
3,2.5,53,48,58
3,3,56,55,60
3,3.5,56,53,50
3.5,0.5,66,58,37
3.5,1,50,51,41
3.5,1.5,58,49,44
3.5,2,55,55,49
3.5,2.5,55,50,49
3.5,3,51,55,46
3.5,3.5,63,50,54
