temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
      574, 1652469556,  304276943, 30.429998,  0.000000,  1.000000,  0.052069,  1.388803,  0.027554,  0.000000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0,0.000000,0.000000,0.000000, 0,0.000000,0.000000,0.000000, 0
      575, 1652469557,  304132938, 30.429974,  0.000000,  1.000000,  0.052080,  1.388579,  0.021305,  0.000000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      576, 1652469558,  305938959, 30.429974,  0.000000,  1.000000,  0.052058,  1.388694,  0.022109,  0.010000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      577, 1652469559,  304089069, 30.437010,  0.000000,  1.000000,  0.052130,  1.381266,  0.023628,  0.015000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      578, 1652469560,  305483102, 30.456198,  0.000000,  1.000000,  0.051634,  1.361960,  0.015727,  0.020000,  0.000000,  0.100000,-46.000000,64.000000,-256.000000, 1,-47.000000,63.000000,-256.000000, 1,-57.000000,53.000000,-256.000000, 1,-59.000000,51.000000,-256.000000, 1
      579, 1652469561,  306045055, 30.475536,  0.000000,  1.000000,  0.055192,  1.341616,  0.022741,  0.020000,  0.000000,  0.100000,-50.000000,60.000000,-256.000000, 1,-47.000000,63.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1
      580, 1652469562,  304058074, 30.494976,  0.000000,  1.000000,  0.058795,  1.320491,  0.047902,  0.030000,  0.000000,  0.000000,-46.000000,64.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-48.000000,62.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1
      581, 1652469563,  305947065, 30.527580,  0.000000,  1.000000,  0.063292,  1.287771,  0.052941,  0.040000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
      582, 1652469564,  304167985, 30.568262,  0.000000,  1.000000,  0.068755,  1.243050,  0.045897,  0.040000,  0.000000,  0.000000,-46.000000,64.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-48.000000,62.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1
      583, 1652469565,  305934906, 30.607775,  0.000000,  1.000000,  0.074711,  1.195986,  0.038500,  0.050000,  0.000000,  0.000000,-49.000000,61.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1
      584, 1652469566,  305944919, 30.661310,  0.000000,  1.000000,  0.082352,  1.140829,  0.038731,  0.060000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1
      585, 1652469567,  304155111, 30.719852,  0.000000,  1.000000,  0.091072,  1.079963,  0.037576,  0.060000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-35.000000,70.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      586, 1652469568,  306200981, 30.780294,  0.000000,  1.000000,  0.101129,  1.009289,  0.031813,  0.060000,  0.000000,  0.000000,-50.000000,60.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      587, 1652469569,  304533004, 30.836483,  0.000000,  1.000000,  0.111477,  0.946301,  0.037689,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-35.000000,70.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1,-61.000000,49.000000,-256.000000, 1
      588, 1652469570,  306196928, 30.895355,  0.000000,  1.000000,  0.121596,  0.877426,  0.036039,  0.060000,  0.000000,  0.000000,-40.000000,70.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1,-58.000000,52.000000,-256.000000, 1
      589, 1652469571,  305964946, 30.955320,  0.000000,  1.000000,  0.131241,  0.810743,  0.037651,  0.060000,  0.000000,  0.000000,-39.000000,70.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
      590, 1652469572,  304374933, 31.014347,  0.000000,  1.000000,  0.141642,  0.747241,  0.033091,  0.060000,  0.000000,  0.000000,-44.000000,66.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1,-54.000000,56.000000,-256.000000, 1
      591, 1652469573,  305445909, 31.075874,  0.000000,  1.000000,  0.152648,  0.681109,  0.025509,  0.060000,  0.000000,  0.000000,-40.000000,70.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-57.000000,53.000000,-256.000000, 1
      592, 1652469574,  304085969, 31.131435,  0.000000,  1.000000,  0.163734,  0.614897,  0.032202,  0.060000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-51.000000,59.000000,-256.000000, 1,-54.000000,56.000000,-256.000000, 1
      593, 1652469575,  305951118, 31.192789,  0.000000,  1.000000,  0.174277,  0.545559,  0.021266,  0.060000,  0.000000, -0.100000,-41.000000,69.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-55.000000,55.000000,-256.000000, 1,-48.000000,62.000000,-256.000000, 1
      594, 1652469576,  306073904, 31.252625,  0.000000,  1.000000,  0.181734,  0.483103,  0.007111,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-54.000000,56.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1
      595, 1652469577,  305902957, 31.312580,  0.000000,  1.000000,  0.190513,  0.414033,  0.005465,  0.060000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1
      596, 1652469578,  305967092, 31.368595,  0.000000,  1.000000,  0.199080,  0.346557,  0.005791,  0.060000,  0.000000,  0.000000,-39.000000,70.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1,-58.000000,52.000000,-256.000000, 1
      597, 1652469579,  304069042, 31.427723,  0.000000,  1.000000,  0.207877,  0.282904,  0.000689,  0.060000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-51.000000,59.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1
      598, 1652469580,  304716110, 31.487535,  0.000000,  1.000000,  0.217479,  0.211762,  0.010461,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1
      599, 1652469581,  306397914, 31.549751,  0.000000,  1.000000,  0.225998,  0.146692,  0.001735,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-54.000000,56.000000,-256.000000, 1
