temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
449,1652469377,304065942,24.663385,0,1,1.191041,0.805395,0.999596,0,0,0,-47,63,-256,1,-44,66,-256,1,-43,67,-256,1,-43,67,-256,1
450,1652469378,305908918,24.663385,0,1,1.191319,0.805427,0.999573,0,0,0,-47,63,-256,1,-44,66,-256,1,-43,67,-256,1,-43,67,-256,1
451,1652469379,303423881,24.663385,0,1,1.191231,0.805457,0.999598,0,0,0,-47,63,-256,1,-44,66,-256,1,-43,67,-256,1,-43,67,-256,1
452,1652469380,305969953,24.663385,0,1,1.191233,0.80539,0.999568,0,0,0,-46,64,-256,1,-44,66,-256,1,-43,67,-256,1,-44,66,-256,1
453,1652469381,304754018,24.663385,0,1,1.191182,0.805397,0.999568,0,0,0,-47,63,-256,1,-44,66,-256,1,-43,67,-256,1,-44,66,-256,1
454,1652469382,304086923,24.663385,0,1,1.191278,0.805505,0.999607,0,0,0,-46,64,-256,1,-44,66,-256,1,-44,66,-256,1,-44,66,-256,1
455,1652469383,308685064,24.663589,0,1,1.191271,0.805455,0.99961,0.02,0,0,-45,65,-256,1,-44,66,-256,1,-44,66,-256,1,-43,67,-256,1
456,1652469384,304064989,24.685488,0,1,1.190712,0.829987,0.999478,0.04,0,0,-46,64,-256,1,-44,66,-256,1,-43,67,-256,1,-43,67,-256,1
457,1652469385,305982112,24.724165,0,1,1.189296,0.871511,0.999568,0.05,0,0,-46,64,-256,1,-44,66,-256,1,-42,68,-256,1,-42,68,-256,1
458,1652469386,305123090,24.775522,0,1,1.188037,0.928295,0.999505,0.06,0,0,-45,65,-256,1,-42,68,-256,1,-42,68,-256,1,-39,70,-256,1
459,1652469387,304022073,24.832447,0,1,1.186068,0.990108,0.999361,0.06,0,0,-45,65,-256,1,-39,70,-256,1,-43,67,-256,1,-40,70,-256,1
460,1652469388,305963993,24.890083,0,1,1.184061,1.054203,0.999614,0.06,0,0,-50,60,-256,1,-44,66,-256,1,-40,70,-256,1,-47,63,-256,1
461,1652469389,304119110,24.951763,0,1,1.181274,1.125657,0.999467,0.065,0,0,-47,63,-256,1,-42,68,-256,1,-45,65,-256,1,-43,67,-256,1
462,1652469390,305988073,25.019718,0,1,1.177789,1.200935,0.999413,0.07,0,0,-45,65,-256,1,-41,69,-256,1,-39,70,-256,1,-47,63,-256,1
463,1652469391,305974006,25.091599,0,1,1.175119,1.282083,0.999573,0.07,0,0,-49,61,-256,1,-45,65,-256,1,-40,70,-256,1,-43,67,-256,1
464,1652469392,304080009,25.156673,0,1,1.171648,1.356401,0.99962,0.07,0,0,-48,62,-256,1,-43,67,-256,1,-44,66,-256,1,-51,59,-256,1
465,1652469393,305963993,25.226099,0,1,1.167991,1.43606,0.99952,0.07,0,-0.1,-45,65,-256,1,-41,69,-256,1,-43,67,-256,1,-48,62,-256,1
466,1652469394,304207086,25.296383,0,1,1.169302,1.521143,0.998268,0.07,0,0,-36,70,-256,1,-48,62,-256,1,-47,63,-256,1,-48,62,-256,1
467,1652469395,305721998,25.368793,0,1,1.170792,1.601408,0.998129,0.07,0,0,-49,61,-256,1,-44,66,-256,1,-42,68,-256,1,-49,61,-256,1
468,1652469396,305870056,25.415697,0,1,1.172022,1.657742,0.998314,0,0,-0.1,-53,57,-256,1,-46,64,-256,1,-44,66,-256,1,-45,65,-256,1
469,1652469397,304100990,25.416281,0,1,1.176429,1.658779,0.991099,0,0,-0.4,-48,62,-256,1,-44,66,-256,1,-40,70,-256,1,-44,66,-256,1
470,1652469398,306206941,25.416632,0,1,1.189922,1.658608,0.945016,0,0,-0.5,-48,62,-256,1,-45,65,-256,1,-42,68,-256,1,-42,68,-256,1
471,1652469399,304723978,25.416531,0,1,1.204177,1.651304,0.841682,0,0,-0.5,-46,64,-256,1,-45,65,-256,1,-39,70,-256,1,-42,68,-256,1
472,1652469400,306283950,25.416372,0,1,1.213513,1.636805,0.684017,0,0,0,-47,63,-256,1,-46,64,-256,1,-42,68,-256,1,-43,67,-256,1
473,1652469401,306380987,25.423054,0,1,1.221138,1.634292,0.666726,0.03,0,0.05,-47,63,-256,1,-47,63,-256,1,-43,67,-256,1,-48,62,-256,1
474,1652469402,304136991,25.452545,0,1,1.255595,1.637161,0.690712,0.03,0,0,-48,62,-256,1,-45,65,-256,1,-48,62,-256,1,-51,59,-256,1
475,1652469403,305994987,25.487627,0,1,1.292043,1.638243,0.688549,0.05,0,0,-45,65,-256,1,-48,62,-256,1,-47,63,-256,1,-49,61,-256,1
476,1652469404,304094076,25.535892,0,1,1.347905,1.640186,0.68974,0.06,0,0,-44,66,-256,1,-49,61,-256,1,-44,66,-256,1,-50,60,-256,1
477,1652469405,305972099,25.59318,0,1,1.413287,1.643053,0.688902,0.06,0,0,-43,67,-256,1,-47,63,-256,1,-44,66,-256,1,-45,65,-256,1
478,1652469406,305186986,25.652205,0,1,1.481527,1.645096,0.688153,0.06,0,0,-43,67,-256,1,-46,64,-256,1,-39,70,-256,1,-42,68,-256,1
479,1652469407,305047988,25.713385,0,1,1.549576,1.6478,0.686522,0.06,0,0,-39,70,-256,1,-54,56,-256,1,-45,65,-256,1,-50,60,-256,1
480,1652469408,305471897,25.770796,0,1,1.618724,1.650703,0.686961,0.06,0,0,-40,70,-256,1,-50,60,-256,1,-43,67,-256,1,-44,66,-256,1
481,1652469409,304059028,25.831318,0,1,1.687057,1.653335,0.686817,0.06,0,0,-36,70,-256,1,-45,65,-256,1,-45,65,-256,1,-45,65,-256,1
482,1652469410,305985927,25.89282,0,1,1.75481,1.656111,0.689625,0.06,0,0,-40,70,-256,1,-58,52,-256,1,-42,68,-256,1,-50,60,-256,1
