temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
        1, 1652468757,  305099964,  0.000025,  0.000000,  1.000000,  1.190231,  0.840651,  0.999050,  0.000000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0,-42.000000,68.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0
        2, 1652468758,  304403066,  0.000025,  0.000000,  1.000000,  1.190269,  0.840625,  0.999045,  0.000000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1
        3, 1652468759,  306325912,  0.003619,  0.000000,  1.000000,  1.189334,  0.843685,  0.999201,  0.020000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
        4, 1652468760,  304094076,  0.027057,  0.000000,  1.000000,  1.188447,  0.870701,  0.999153,  0.030000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1
        5, 1652468761,  306077957,  0.065580,  0.000000,  1.000000,  1.186737,  0.914521,  0.998915,  0.050000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
        6, 1652468762,  306288003,  0.114278,  0.000000,  1.000000,  1.184828,  0.966768,  0.998925,  0.050000,  0.000000,  0.000000,-51.000000,59.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1
        7, 1652468763,  304888963,  0.164089,  0.000000,  1.000000,  1.181951,  1.022639,  0.998963,  0.050000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1
        8, 1652468764,  306226015,  0.213622,  0.000000,  1.000000,  1.179485,  1.078009,  0.999290,  0.050000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1
        9, 1652468765,  304107904,  0.268901,  0.000000,  1.000000,  1.176576,  1.132740,  0.999084,  0.060000,  0.000000,  0.000000,-47.000000,63.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1
       10, 1652468766,  304680109,  0.327976,  0.000000,  1.000000,  1.171818,  1.205911,  0.998941,  0.060000,  0.000000,  0.000000,-50.000000,60.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1
