temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
       25, 1652324502,  489716053, -0.000051,  0.000000,  1.000000,  1.201879,  0.732709,  0.721526,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0
       26, 1652324503,  491230964, -0.000051,  0.000000,  1.000000,  1.201886,  0.732757,  0.720789,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1
       27, 1652324504,  490370988, -0.000051,  0.000000,  1.000000,  1.201956,  0.732650,  0.721328,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1
       28, 1652324505,  488555908, -0.000051,  0.000000,  1.000000,  1.201926,  0.732745,  0.720512,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1
       29, 1652324506,  489958047, -0.000051,  0.000000,  1.000000,  1.201827,  0.732568,  0.720956,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1
       30, 1652324507,  489099025, -0.000051,  0.000000,  1.000000,  1.201943,  0.732711,  0.720440,  0.000000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-45.000000,65.000000,-256.000000, 1
       31, 1652324508,  488470077, -0.000025,  0.000000,  1.000000,  1.202005,  0.732700,  0.721671,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-47.000000,63.000000,-256.000000, 1
       32, 1652324509,  489017009, -0.000051,  0.000000,  1.000000,  1.201738,  0.732597,  0.719419,  0.000000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1
       33, 1652324510,  488569974, -0.000051,  0.000000,  1.000000,  1.201810,  0.732843,  0.721016,  0.010000,  0.000000,  0.000000,-38.000000,70.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-47.000000,63.000000,-256.000000, 1
       34, 1652324511,  490540027,  0.007467,  0.000000,  1.000000,  1.201815,  0.742526,  0.721141,  0.020000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-48.000000,62.000000,-256.000000, 1
       35, 1652324512,  490331888,  0.026905,  0.000000,  1.000000,  1.201627,  0.768163,  0.721512,  0.030000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-47.000000,63.000000,-256.000000, 1
