X,Y,RSS1,RSS2,RSS3,RSS4
0.0,30,-66.7383064929929,-68.7383064929929,-77.20546195962444,-82.20546195962444
0.2,30,-70.4321195355535,-69.25897824138859,-76.79566644984256,-79.8303865594017
0.4,30,-70.72126338963513,-72.37496551210337,-81.98183915867442,-80.05127802659425
0.6000000000000001,30,-70.88372500519188,-72.36423995778759,-80.04196029420112,-80.14611521819131
0.8,30,-61.60594884566567,-61.91323072836496,-73.6624677241556,-72.80133465104734
1.0,30,-71.63803230772407,-69.77201988263627,-85.59345239187476,-85.76702591794063
1.2000000000000002,30,-66.50031744514838,-65.46093410400125,-75.3552500365203,-76.56352340790095
1.4000000000000001,30,-72.81477953844605,-74.60193326186122,-84.56982975913753,-81.81279487237495
1.6,30,-74.07333633100225,-72.68691963950683,-83.7291032553634,-83.006750658041
1.8,30,-67.21175189602907,-68.65164179273819,-79.7688286790371,-78.08114757052648
2.0,30,-70.5047581859638,-70.77081609085732,-79.96373218836163,-84.31071042067603
2.2,30,-74.10526583471857,-71.19733751042382,-85.46671874501398,-87.84834282376862
2.4000000000000004,30,-76.59686455868318,-72.51478002766389,-81.86137251210258,-85.27762759758187
2.6,30,-71.64514610608647,-65.38871955912593,-79.8132798005737,-80.26414970890515
2.8000000000000003,30,-67.32319314504048,-67.8922228408953,-79.39551795438797,-78.88098515882321
3.0,30,-70.95945483276496,-71.35372298885216,-83.93653091696085,-84.45657654926346
3.2,30,-77.69000846140825,-72.90928113537657,-86.57239087428043,-86.12699472622084
3.4000000000000004,30,-68.08920349078655,-67.13323045280904,-78.8774422850217,-75.46658280997916
3.6,30,-72.71715851511145,-66.58567311072271,-79.41179884472402,-81.0354531593956
3.8000000000000003,30,-74.46306914181817,-66.15578814510536,-80.06465136214156,-81.72279524835844
4.0,30,-75.94318193692855,-67.45980539387092,-83.4522417021986,-84.14484960884947
4.2,30,-71.93127312050929,-65.27148418224537,-78.34834147910713,-77.07538652416896
4.4,30,-66.87271190920194,-63.03617665498812,-80.19831539662154,-77.95976936929762
4.6000000000000005,30,-72.60647127528745,-69.59283852489452,-82.84113200488993,-79.63696536785537
4.800000000000001,30,-66.83084969123881,-63.63975080651682,-74.97508544285463,-80.80526733460934
5.0,30,-67.87720909701895,-63.5082577723421,-74.931533403456,-80.79603164078515
5.2,30,-76.0710327984606,-68.52382483974532,-80.0359550299746,-80.9347361105167
5.4,30,-71.41895821894573,-62.693071310916004,-77.29498366572747,-79.22801277065014
5.6000000000000005,30,-70.24559520347312,-65.34058866482609,-79.0332251562051,-82.00046615298852
5.800000000000001,30,-67.97663932646455,-60.89205385256801,-74.67637115499764,-74.67778660032587
6.0,30,-73.75536105544741,-66.49071844817871,-81.3676882856469,-82.40323942840693
6.2,30,-73.02390007107962,-63.57870295539129,-77.5493124598878,-79.61895924427654
6.4,30,-78.51309383339014,-70.88682536016285,-81.9520774421515,-83.05577851089083
6.6000000000000005,30,-70.18074949947241,-62.372873034189496,-76.53378676556548,-78.67149946322519
6.800000000000001,30,-73.51165986727007,-65.5216186640207,-77.77922967408922,-81.95091005051805
7.0,30,-79.0916694440726,-70.9188863043605,-82.27424718940071,-83.4798500032656
7.2,30,-71.90956393762447,-64.55344085342917,-78.00762160043705,-78.24710032287045
7.4,30,-72.38490948064249,-64.84482726114702,-75.39891568638173,-77.67222250473708
7.6000000000000005,30,-70.97046263545323,-67.2457805168179,-78.90088271980967,-83.20796854152523
7.800000000000001,30,-69.96776516797054,-63.05782040549583,-79.8150612392087,-81.15587569577959
8.0,30,-72.84354134278398,-64.74764878476681,-81.60817234264714,-77.98266379370561
8.200000000000001,30,-79.00518924047769,-70.72264088302455,-82.68761100370583,-86.09572654120994
8.4,30,-71.78577723556289,-63.31584175757948,-79.3864425480568,-80.82812800058738
8.6,30,-74.43983524626388,-66.7817575237948,-78.95919390192763,-84.43439383909343
8.8,30,-71.91100674109492,-59.0640073401378,-77.3495055973872,-76.85816333433866
9.0,30,-75.52476631599905,-66.488040962865,-76.88284934822391,-80.42490695027482
9.200000000000001,30,-78.42529809542597,-69.19801712366274,-83.7034064497917,-85.27880473714949
9.4,30,-73.9318663709981,-65.51317414383263,-77.1304384164725,-81.73911696907666
9.600000000000001,30,-74.7744152050312,-66.16342951222545,-79.89388658402082,-83.53578374648949
9.8,30,-70.19496156859682,-60.390772996542545,-79.2357652464764,-76.91081813316111
10.0,30,-72.20527852202292,-65.20694979582959,-83.16784483554095,-82.87598933568951
10.200000000000001,30,-73.42734275896942,-65.23390805522169,-80.31209946355469,-81.05327024658212
10.4,30,-75.37688146317453,-63.98734569195377,-83.18425377916796,-82.95838430003526
10.600000000000001,30,-76.96831950960113,-64.38165756427657,-77.69873016743637,-81.50575267213718
10.8,30,-74.06399643822373,-66.27915241142492,-80.7178657225793,-82.55771125373431
11.0,30,-68.67720371150905,-62.693090075589346,-75.25494950445437,-78.12754790701331
11.200000000000001,30,-69.38916624185478,-59.204662992046764,-75.89120406501135,-76.79648399206236
11.4,30,-70.93749061637072,-57.55144437471808,-75.36423367210966,-74.30212259079612
11.600000000000001,30,-74.47990462979753,-62.89112770782175,-81.83176384149361,-80.80218803903794
11.8,30,-70.82011058968779,-59.02738000761346,-75.09749464104982,-76.10037923088434
12.0,30,-67.89338408125892,-55.89544054147556,-77.09669945475561,-79.13196838276009
12.200000000000001,30,-76.5311380373022,-64.32668484958435,-80.66078905170222,-83.72836510254803
12.4,30,-73.01012972006332,-63.597831675901645,-81.06651856710783,-84.16632337070821
12.600000000000001,30,-71.3174680711525,-63.695950264366,-77.3009948513776,-78.43294888944418
12.8,30,-75.86153169948514,-63.02937829008827,-76.7725944572116,-83.93661706991652
13.0,30,-75.49235737224528,-60.44811029033066,-80.33135212975232,-80.52736152249588
13.200000000000001,30,-74.7714800798997,-59.51363766606681,-79.53880087079895,-79.76671412108243
13.4,30,-75.02174502096462,-59.5487605995755,-77.71778392279019,-78.97751698719348
13.600000000000001,30,-78.94941369356953,-61.259694074842216,-81.57456085959988,-84.86602858086356
13.8,30,-72.6719197071818,-57.76382361383838,-76.22656339750804,-79.54967951171953
14.0,30,-73.80229008660119,-58.67412650046941,-78.28681669845689,-81.6414938423404
14.200000000000001,30,-72.408553695514,-59.05858011913387,-74.82334779288043,-80.20949751119015
14.4,30,-78.9957814078502,-62.4222020357606,-82.34122575035146,-86.7587585033675
14.600000000000001,30,-70.63657852394199,-59.837542317910646,-76.91305409504302,-80.36187926616996
14.8,30,-75.65782646727455,-57.631425129287116,-75.86571250179587,-80.34573840526294
15.0,30,-69.9285138047219,-54.6727796410555,-77.06818781568363,-76.57932170434641
15.200000000000001,30,-72.40171622451065,-58.914619893682655,-76.47355402931858,-78.01570210256158
15.4,30,-74.96030199055737,-61.23975012735431,-79.96467773654355,-78.53774514828307
15.600000000000001,30,-81.52786054713914,-63.57169325428842,-80.46514673646885,-84.06903760325548
15.8,30,-69.63130652863379,-55.437294726976944,-75.50187404259077,-76.13649145181108
16.0,30,-77.60173009141388,-58.1675727186665,-78.40594821407537,-79.07119423225198
16.2,30,-82.75939733619573,-66.08271838352816,-84.49763377750848,-90.19340945869803
16.400000000000002,30,-76.5553054989854,-58.633650873720896,-82.22792641725366,-84.95413181154184
16.6,30,-72.13073314864546,-53.9615673503397,-74.73810317244185,-77.49463733453494
16.8,30,-81.24577966112,-62.826482257143105,-85.78826191062967,-84.57502290854148
17.0,30,-78.75847000859702,-58.086331894077986,-81.2364261164054,-84.05331104023948
17.2,30,-72.25766967263806,-53.32988909823219,-74.67145980397225,-80.51836477479793
17.400000000000002,30,-80.3791885757028,-61.192866925091856,-78.72917144813671,-86.60599162695856
17.6,30,-74.11039632037165,-57.662533617683195,-79.39692922300443,-77.303558819824
17.8,30,-74.43242344811004,-58.7199135735234,-81.65586226022701,-82.59219454319641
18.0,30,-78.4789596062597,-59.498585195929216,-79.6396588154857,-84.60558612015147
18.2,30,-73.54403733487521,-59.292464338913334,-79.64235005482888,-80.6377637934659
18.400000000000002,30,-77.7759275182289,-57.249699387821245,-79.81220550568727,-78.8369961767211
18.6,30,-76.81537111017528,-55.01090258190753,-74.78996478175716,-77.84402197927446
18.8,30,-69.3291274285363,-51.242697870652606,-74.24238587691318,-75.32559830025858
19.0,30,-70.35342461796812,-52.98117089950108,-77.20569562761118,-76.31795109107003
19.200000000000003,30,-75.44093280862373,-55.77884164807534,-80.23256287109501,-82.37374831366064
19.400000000000002,30,-72.59719767388272,-52.641097419323366,-77.3285320026788,-79.49853349790327
19.6,30,-80.71467076918387,-59.4602225561882,-79.3860533141401,-85.58475608006734
19.8,30,-75.15796961379003,-50.600657841447855,-72.7697430750529,-80.997031484233
20.0,30,-74.6302929611274,-53.76541501933915,-81.18279880270332,-81.4385563922869
20.200000000000003,30,-76.04265008077866,-52.865305254032116,-75.53622854366617,-82.8203380255774
20.400000000000002,30,-76.59308806297355,-58.09816552664275,-78.02807817788695,-85.3404214490742
20.6,30,-71.62215119623035,-50.80431701094648,-78.99889079592198,-79.33934894868459
20.8,30,-77.45725375379018,-55.31093675138175,-80.77607948497845,-84.14453281736851
21.0,30,-78.43353480982788,-54.95291125044255,-78.69478214473844,-84.09111017103618
21.200000000000003,30,-77.85818514154133,-55.037162005517125,-80.06218838906841,-81.48626985032965
21.400000000000002,30,-77.52526993132591,-52.35746669078546,-81.67236224782059,-81.12407512249519
21.6,30,-75.3038339673176,-50.78256266083894,-80.39434736701001,-81.8735688816296
21.8,30,-71.71370299960131,-48.83194640809848,-73.74796836466368,-81.25457500459736
22.0,30,-77.70968031541582,-58.46006800783913,-79.68802740567253,-83.22189492594913
22.200000000000003,30,-79.25398196968145,-52.6287639524616,-76.17673943197329,-79.73774286816838
22.400000000000002,30,-79.12622942833202,-56.11724709158629,-79.99372480554067,-85.58173848472723
22.6,30,-74.97814014064582,-48.57679414572848,-78.79069988038509,-80.40559743214585
22.8,30,-75.83089567819941,-47.02811037358906,-74.5888451411797,-78.23049950867993
23.0,30,-76.23410783223456,-47.02029171597233,-73.93777130030655,-82.60605475142538
23.200000000000003,30,-83.33701455612788,-51.70201622050125,-80.98671524001176,-87.68149937853059
23.400000000000002,30,-74.14473399622828,-48.077792890903844,-77.74079404293455,-77.46194981978083
23.6,30,-70.97774803226643,-42.46743926150323,-74.52048853221433,-77.26788625675906
23.8,30,-71.5659297539792,-42.60010197663916,-75.05567074781864,-75.82918009922577
24.0,30,-74.63456848077455,-49.20027380179798,-75.07162896591751,-82.87111900454356
24.200000000000003,30,-76.19668598176453,-48.28010050177683,-82.58138391863166,-82.40672309747394
24.400000000000002,30,-76.59788468957204,-45.18421810377422,-77.9305370075602,-79.78159318375164
24.6,30,-75.47776553287338,-46.551157826084406,-76.7586881360499,-80.63532858239878
24.8,30,-75.46720671627067,-46.010609567592255,-76.69671448879987,-85.59880590537269
25.0,30,-76.93098556422717,-40.926025524925905,-78.10939237553475,-78.03680090128017
25.200000000000003,30,-71.52291863561454,-42.94973844027004,-72.65053734529518,-76.60312856970755
25.400000000000002,30,-81.91173104561999,-48.74880450826204,-82.98887350809393,-87.96651248291415
25.6,30,-70.04951127926415,-37.27342604206657,-71.07648834818781,-78.07903959913978
25.8,30,-76.8402902501266,-44.42549109220981,-76.81741178256281,-78.84473932112358
26.0,30,-73.6469303290856,-42.56541366433901,-73.5745051894386,-77.62647252464023
26.200000000000003,30,-77.50929128178058,-41.730238670569,-77.38762734550099,-78.46409749576216
26.400000000000002,30,-69.07785624414686,-38.56719090996477,-73.90726040121197,-74.00809590619735
26.6,30,-79.68313028488592,-38.40297530759987,-78.46390844306035,-79.58897137556585
26.8,30,-80.10626456708312,-40.01427392330301,-77.8387216549647,-80.98787363282642
27.0,30,-80.18994778713939,-42.23847063999972,-81.87438775699583,-84.04748995502082
27.200000000000003,30,-72.44696447632032,-37.58198734869704,-77.08369030672101,-80.28060346863793
27.400000000000002,30,-79.01763307504078,-37.17742093284716,-75.60694677328927,-78.82753122371648
27.6,30,-80.04394622479049,-36.15726726131795,-76.58614882916201,-82.83026448559156
27.8,30,-78.29689976783678,-37.28066146801241,-76.79229134962601,-82.05979773442112
